date,current_capital,unclaimed_fees,projected_fees,reinvest_cost,p_value,day_projection
2022-08-22,1000000.0,23317.308430512814,1.6977562099112546,20.5465314336213,0.02,7
2022-08-23,1000000.0,23423.116872108665,1.705846992084128,19.249120752262087,0.02,7
2022-08-24,1000000.0,23465.460565786947,1.7101483596152232,18.20850766617344,0.02,7
2022-08-25,1000000.0,23505.07552465529,1.7135169714592344,24.805111726846857,0.02,7
2022-08-26,1000000.0,23587.49293523567,1.719980170308451,19.11487084769196,0.02,7
2022-08-27,1000000.0,23654.390453258085,1.72582476111792,12.246990714992627,0.02,7
2022-08-28,1000000.0,23715.392099009652,1.731065633552054,11.315434460778336,0.02,7
2022-08-29,1000000.0,23817.602655525963,1.7392549096231322,21.153238022160718,0.02,7
2022-08-30,1000000.0,23885.878609762465,1.7454569686332049,25.30803780987089,0.02,7
2022-08-31,1000000.0,23996.43007979924,1.7543640480701805,28.433639735373315,0.02,7
2022-09-01,1000000.0,24073.610797183577,1.7613336313081471,26.218089390190322,0.02,7
2022-09-02,1000000.0,24298.638792789414,1.7787507184932643,18.8596738444471,0.02,7
2022-09-03,1000000.0,24326.156121745793,1.7833359013475658,11.078445157570771,0.02,7
2022-09-04,1000000.0,24350.664012384786,1.7854882036374873,12.64060255556974,0.02,7
2022-09-05,1000000.0,24528.972405412384,1.7988874118953537,16.55645526191566,0.02,7
2022-09-06,1000000.0,24764.378718128894,1.8182689921033794,21.029168129775584,0.02,7
2022-09-07,1000000.0,25033.21007395816,1.8407247215890152,27.579250604772998,0.02,7
2022-09-08,1000000.0,25111.15659951776,1.849490829779683,30.928242974108404,0.02,7
2022-09-09,1000000.0,25188.3800816172,1.8561663011378908,30.63066958294999,0.02,7
2022-09-10,1000000.0,25239.129416728938,1.8650493108735628,18.81015160616323,0.02,7
2022-09-11,1000000.0,25310.756191090226,1.8715416728292884,16.41946437871343,0.02,7
2022-09-12,1000000.0,25426.28539286423,1.8815862513869275,25.694073393543185,0.02,7
2022-09-13,1000000.0,25630.96402028019,1.8987438514605948,26.01505029247488,0.02,7
2022-09-14,1000000.0,25676.57551883339,1.9046306449115025,19.59376177955442,0.02,7
2022-09-15,1000000.0,25786.11950676311,1.9139562242276007,23.816924452762176,0.02,7
2022-09-16,1000000.0,25885.852898438257,1.9233663914104466,13.97496881085851,0.02,7
2022-09-17,1000000.0,25910.762129479095,1.9271479372175842,9.120956815387494,0.02,7
2022-09-18,1000000.0,25951.410372044113,1.9311021875274283,11.006790736092107,0.02,7
2022-09-19,1000000.0,26053.635525391022,1.9399201064860785,13.877226667355437,0.02,7
2022-09-20,1000000.0,26111.63769254832,1.9462707203007406,14.399738101134059,0.02,7
2022-09-21,1000000.0,26198.894524053372,1.9542987202443658,16.258563493600555,0.02,7
2022-09-22,1000000.0,26326.71115603093,1.9657687884311603,13.181655654620224,0.02,7
2022-09-23,1000000.0,26396.340547249067,1.9733099100475304,12.13743748534205,0.02,7
2022-09-24,1000000.0,26431.788776599875,1.977733493078255,8.368070862055752,0.02,7
2022-09-25,1000000.0,26503.25532745895,1.9843622601451383,9.930035517276748,0.02,7
2022-09-26,1000000.0,26552.81044013176,1.9899331014661494,15.467603439678621,0.02,7
2022-09-27,1000000.0,26713.636734634234,2.0035655128186463,21.01951175505339,0.02,7
2022-09-28,1000000.0,26778.66203148426,2.0110816622164625,18.4925757428034,0.02,7
2022-09-29,1000000.0,26837.229105465205,2.0173512458889467,17.566100202126208,0.02,7
2022-09-30,1000000.0,26928.539196674745,2.026029705709955,17.536778643136312,0.02,7
2022-10-01,1000000.0,26986.10151190389,2.032643056683082,10.485080241193565,0.02,7
2022-10-02,1000000.0,27031.358567332492,2.0379264374578656,7.581055680413824,0.02,7
2022-10-03,1000000.0,27329.8867290819,2.0621569793752856,16.410037051303622,0.02,7
2022-10-04,1000000.0,27453.354772432307,2.073068796500004,16.794087447679814,0.02,7
2022-10-05,1000000.0,27490.32607054937,2.0785093255838496,19.41121559421142,0.02,7
2022-10-06,1000000.0,27661.339707558862,2.0930380563927242,14.786545559039602,0.02,7
2022-10-07,1000000.0,27759.502456482292,2.103327541087446,12.571449820399257,0.02,7
2022-10-08,1000000.0,27781.500439840787,2.1075534265915166,18.989806132773644,0.02,7
2022-10-09,1000000.0,27784.578806469235,2.1091712256379496,28.977824276929848,0.02,7
2022-10-10,1000000.0,27797.208174977215,2.03726590972642,33.93748870757635,0.02,7
2022-10-11,1000000.0,27870.951716904226,2.0061605901982147,26.28542767648907,0.02,7
2022-10-12,1000000.0,27893.235685671225,2.011145668600646,20.18986159552656,0.02,7
2022-10-13,1000000.0,27976.13094781131,2.0192108601952126,24.766096864013313,0.02,7
2022-10-14,1000000.0,28150.91328991704,2.0354227007748924,19.03970561239593,0.02,7
2022-10-15,1000000.0,28199.123201359685,2.042920624731737,17.559985997844922,0.02,7
2022-10-16,1000000.0,28298.191051137084,2.0530278786683995,16.29259020226726,0.02,7
2022-10-17,1000000.0,28573.480882225238,2.0769245830762437,25.766662792808283,0.02,7
